Таблица идентификаторов
Идентификатор                         | Тип данных        | Тип идентификатора     | Индекс в таблице лексем     | Значение
sum                                   | float             | функция                | Из статической библиотеки   | Не определено
minus                                 | float             | функция                | Из статической библиотеки   | Не определено
mult                                  | float             | функция                | Из статической библиотеки   | Не определено
division                              | float             | функция                | Из статической библиотеки   | Не определено
Fact.$                                | num               | функция                | 0                           | Не определено
a.Fact.$                              | num               | параметр               | 4                           | Не определено
res.Fact.$                            | num               | переменная             | 11                          | Не определено
literal                               | num               | литерал                | 15                          | 1
literal                               | num               | литерал                | 19                          | 1
a.Fact.$                              | num               | параметр               | 21                          | Не определено
literal                               | num               | литерал                | 23                          | 1
el.$For1.Fact.$                       | num               | параметр               | 25                          | Не определено
res.Fact.$                            | num               | переменная             | 27                          | Не определено
mult                                  | float             | функция                | 29                          | Не определено
res.Fact.$                            | num               | переменная             | 31                          | Не определено
el.$For1.Fact.$                       | num               | параметр               | 33                          | Не определено
res.Fact.$                            | num               | переменная             | 40                          | Не определено
a.$l1.main.$                          | num               | переменная             | 45                          | Не определено
Fact.$                                | num               | функция                | 49                          | Не определено
literal                               | num               | литерал                | 51                          | 3
a.$l1.main.$                          | num               | переменная             | 55                          | Не определено
literal                               | num               | литерал                | 57                          | 6
literal                               | string            | литерал                | 64                          | a равно 6
literal                               | string            | литерал                | 76                          | a не равно 6
round.$l1.main.$                      | float             | функция                | 84                          | Не определено
a.round.$l1.main.$                    | float             | параметр               | 88                          | Не определено
numa.round.$l1.main.$                 | num               | переменная             | 95                          | Не определено
a.round.$l1.main.$                    | float             | параметр               | 99                          | Не определено
minus                                 | float             | функция                | 102                         | Не определено
a.round.$l1.main.$                    | float             | параметр               | 104                         | Не определено
numa.round.$l1.main.$                 | num               | переменная             | 106                         | Не определено
literal                               | float             | литерал                | 109                         | 0,500000
sum                                   | float             | функция                | 115                         | Не определено
numa.round.$l1.main.$                 | num               | переменная             | 117                         | Не определено
literal                               | num               | литерал                | 119                         | 1
numa.round.$l1.main.$                 | num               | переменная             | 124                         | Не определено
half.$l1.main.$                       | float             | переменная             | 128                         | Не определено
round.$l1.main.$                      | float             | функция                | 132                         | Не определено
literal                               | float             | литерал                | 134                         | 78,669998
literal                               | string            | литерал                | 139                         | rounded half = 
half.$l1.main.$                       | float             | переменная             | 141                         | Не определено
literal                               | num               | литерал                | 145                         | 0

